query,precision@5,precision@10,ndcg@5,ndcg@10,average_precision,mrr,relevant_results,total_results
ИИ в трейдинге,0.2,0.3,0.5,0.5239472913541398,0.3055555555555555,0.3333333333333333,3,10
новый VR шлем Valve,0.6,0.3,0.9674679834891693,0.9674679834891693,0.9166666666666666,1.0,3,10
Telegram обновил дизайн iOS,0.8,0.4,0.9047172294870751,0.9047172294870751,0.8041666666666667,1.0,4,10
крипторынок восстановление 2025,1.0,0.75,1.0,1.0,1.0,1.0,6,8
создание длинных видео Sora,0.4,0.2,0.9197207891481876,0.9197207891481876,0.8333333333333333,1.0,2,10
блокировка SIM карт роуминг,0.6,0.7,0.9060254355346823,0.8712396658637701,0.7113945578231292,1.0,7,10
нейросети для дизайна интерьера,0.6,0.5,0.8854598815714874,0.867749820489524,0.7116666666666667,1.0,5,10
зарплатные ожидания зумеров,1.0,0.6,1.0,1.0,1.0,1.0,6,10
СберМобайл подписка Литрес,0.2,0.1,1.0,1.0,1.0,1.0,1,10
будущее бизнеса эмпатия технологии,1.0,0.8,1.0,0.9933222998814617,0.975,1.0,8,10
OVERALL_MEAN,0.64,0.465,0.9083391319230602,0.9048165079713326,0.8257783446712018,0.9333333333333332,,
