query,precision@5,precision@10,ndcg@5,ndcg@10,average_precision,mrr,relevant_results,total_results
ИИ в трейдинге,0.4,0.4,0.6240505200038379,0.6333183426878355,0.41875,0.5,4,10
новый VR шлем Valve,0.2,0.16666666666666666,0.6309297535714575,0.6309297535714575,0.5,0.5,1,6
Telegram обновил дизайн iOS,0.4,0.3,0.5437713091520254,0.5518331289811786,0.3444444444444444,0.3333333333333333,3,10
крипторынок восстановление 2025,0.6666666666666666,0.6666666666666666,0.9197207891481876,0.9197207891481876,0.8333333333333333,1.0,2,3
создание длинных видео Sora,1.0,1.0,1.0,1.0,1.0,1.0,4,4
блокировка SIM карт роуминг,0.6,0.7,1.0,0.9447403758138471,0.8441043083900227,1.0,7,10
нейросети для дизайна интерьера,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,1,3
зарплатные ожидания зумеров,0.4,0.4,0.8503449055347546,0.8503449055347546,0.7,1.0,2,5
СберМобайл подписка Литрес,0.2,0.125,1.0,1.0,1.0,1.0,1,8
будущее бизнеса эмпатия технологии,0.4,0.4,0.6934264036172708,0.6718536598421433,0.475,0.5,4,10
OVERALL_MEAN,0.4600000000000001,0.4491666666666667,0.7762243681027534,0.7702740955579404,0.6448965419501133,0.7166666666666666,,
