query,precision@5,precision@10,ndcg@5,ndcg@10,average_precision,mrr,relevant_results,total_results
ИИ в трейдинге,1.0,1.0,1.0,1.0,1.0,1.0,10,10
новый VR шлем Valve,0.2,0.1,1.0,1.0,1.0,1.0,1,10
Telegram обновил дизайн iOS,0.8,0.4,1.0,1.0,1.0,1.0,4,10
крипторынок восстановление 2025,0.2,0.125,1.0,1.0,1.0,1.0,1,8
создание длинных видео Sora,0.6,0.3,1.0,1.0,1.0,1.0,3,10
блокировка SIM карт роуминг,1.0,1.0,1.0,1.0,1.0,1.0,10,10
нейросети для дизайна интерьера,0.0,0.0,0.0,0.0,0.0,0.0,0,10
зарплатные ожидания зумеров,0.6,0.3,1.0,1.0,1.0,1.0,3,10
СберМобайл подписка Литрес,1.0,0.9,1.0,1.0,1.0,1.0,9,10
будущее бизнеса эмпатия технологии,0.2,0.1,1.0,1.0,1.0,1.0,1,10
OVERALL_MEAN,0.56,0.4225,0.9,0.9,0.9,0.9,,
