relevance_score,query,title,url,relevance_probability,relevance_prediction,elastic_score,combined_score,section,author,published_date,word_count,timestamp
0,ИИ в трейдинге,Вайбкодим ИИ для Excel,"https://vc.ru/ai/2314494-vaybkodim-ii-dlya-excel-formuli-bez-koda",0.7818703419813,1,593.3125,178.54105923938693,ai,Яроцкий запускает приложения,2025-11-02T17:28:57+00:00,424,2025-12-14T03:46:03.355177
1,ИИ в трейдинге,ИИ как катализатор экономики,"https://vc.ru/future/1800913-ii-kak-katalizator-ekonomiki",0.4503459687669641,0,593.3125,178.3089921781369,future,Наташа Хазеева,2025-02-09T05:53:19+00:00,615,2025-12-14T03:46:03.355187
0,ИИ в трейдинге,Agentic AI: когда ИИ начинает действовать сам,"https://vc.ru/ai/2313274-agentic-ai-avtonomnye-sistemy-iskusstvennogo-intellekta",0.4890380333689191,0,591.1876,177.69860662335824,ai,Турболого - создай лого и сайт,2025-11-01T13:47:12+00:00,715,2025-12-14T03:46:03.355190
0,ИИ в трейдинге,Искусственный интеллект: Интеллект без морали?,"https://vc.ru/ai/2314845-iskusstvennyj-intellekt-i-vliyanie-na-sotrudnichestvo",0.3724226244862269,0,582.4308,174.98993583714034,ai,SkyNet Mcmxcvii,2025-11-02T16:10:36+00:00,337,2025-12-14T03:46:03.355193
1,ИИ в трейдинге,10 наблюдений про ИИ в маркетинге,"https://vc.ru/ai/2315161-10-nablyudeniy-o-primeneni-ii-v-marketinge",0.5487327185577322,1,581.2035,174.7451629029904,ai,Kravchuk,2025-11-02T21:12:02+00:00,645,2025-12-14T03:46:03.355196
0,ИИ в трейдинге,Что ждет ИИ в 2025 году,"https://vc.ru/future/1751049-chto-zhdet-ii-v-2025-godu",0.5345680551081581,1,581.2035,174.7352476385757,future,Наташа Хазеева,2025-01-13T13:45:55+00:00,1077,2025-12-14T03:46:03.355199
0,ИИ в трейдинге,Используйте Notion AI — он реально ускоряет процесс,"https://vc.ru/ai/2332753-kak-notion-ai-uskorjaet-rabotu",0.3210371076148852,0,578.5092,173.7774859753304,ai,Вадим Д.,2025-11-11T15:22:07+00:00,191,2025-12-14T03:46:03.355201
1,ИИ в трейдинге,ИИ как продакт-менеджер: выдумка или уже реальность?,"https://vc.ru/ai/2322956-ii-v-produktovoy-razrabotke",0.6187580011115587,1,569.58453,171.30848960077807,ai,Турболого - создай лого и сайт,2025-11-06T13:52:18+00:00,683,2025-12-14T03:46:03.355204
0,ИИ в трейдинге,Генеративный AI в IoT: создание контента для умных устройств,"https://vc.ru/ai/2323480-generativnyy-ai-v-iot-dlya-riteyla",0.7656864400959049,1,569.20166,171.2964785080671,ai,SINARDCOM,2025-11-06T15:26:27+00:00,518,2025-12-14T03:46:03.355207
1,ИИ в трейдинге,Прогноз развития ИИ в стиле Оруэлла,"https://vc.ru/future/1909728-prognoz-razvitiya-ii-k-2027-godu",0.37904220192433313,0,569.58453,171.140688541347,future,Наташа Хазеева,2025-04-07T05:39:51+00:00,666,2025-12-14T03:46:03.355209
